LOCALIDAD_FIC,1- HOMBRE,2- MUJER,3- INTERSEXUAL
ANTONIO NARINO,48.1,51.9,0.0
BARRIOS UNIDOS,51.6,48.4,0.0
BOSA,51.2,48.8,0.0
CANDELARIA,51.2,48.8,0.0
CHAPINERO,50.0,50.0,0.0
CIUDAD BOLIVAR,49.3,50.7,0.0
ENGATIVA,50.3,49.7,0.0
FONTIBON,51.0,49.0,0.0
KENNEDY,49.2,50.8,0.0
LOS MARTIRES,50.9,49.1,0.0
PUENTE ARANDA,53.0,47.0,0.0
RAFAEL URIBE URIBE,52.5,47.5,0.0
SAN CRISTOBAL,50.5,49.5,0.0
SANTA FE,51.9,48.0,0.1
SUBA,52.4,47.6,0.0
TEUSAQUILLO,46.3,53.7,0.0
TUNJUELITO,51.7,48.3,0.0
USAQUEN,53.9,46.1,0.0
USME,51.6,48.4,0.0
